"Component ID",Cost
1329,8400000
581,2400000
3128,2000000
1356,1950000
2730,1710000
1324,1600000
1276,1200000
1499,1200000
595,1200000
1350,1155000
464,891000
2241,800000
1351,800000
489,752724
500,727200
461,543750
656,535000
664,490000
640,460000
2398,414000
462,408000
1274,370000
1093,367000
616,350000
497,339921
1215,310000
1214,308000
1728,300000
639,230000
465,226590
1092,225556
1390,225000
652,225000
498,206550
1492,204000
2240,200000
3166,200000
499,192600
653,170000
506,164674
473,155012
127,153566
629,148625
1248,146000
43,144072
481,142600
467,137717
1235,135000
99,130000
594,130000
137,127170
2784,126000
636,125000
254,125000
140,122400
631,120000
2790,120000
623,120000
1209,120000
663,120000
659,120000
111,109760
466,103680
2443,100000
24,98800
214,97899
920,96000
1418,91140
1371,90000
77,85215
1268,85000
1284,85000
3208,83980
1009,80000
102,80000
3250,80000
2169,79200
645,75000
3249,75000
488,73932
507,77000
138,70720
710,70000
1117,68000
490,65285
470,63800
977,62000
135,61815
919,61260
988,58500
482,58121
1871,55000
1725,55000
1099,54000
459,51510
2829,50000
635,49000
2262,49000
2639,46000
2726,45000
505,42000
474,42080
145,41600
171,40050
1975,40000
1306,40000
1892,40000
617,40000
3187,40000
987,40000
2194,40000
1210,40000
743,40000
2215,40000
1875,37200
1675,36000
386,36000
457,35325
1420,34100
18,34000
2399,32000
2345,32000
516,36400
3225,31000
1211,30000
1019,30000
2287,30000
2370,30000
517,29600
2089,29510
148,28680
2261,28000
201,26550
1163,25000
1976,25000
1977,25000
9,25000
215,24980
501,24800
496,25543
195,24300
921,24000
1311,24000
3178,24000
1244,23800
463,23480
2098,22600
162,22520
182,21300
509,20700
3142,20000
1902,20000
883,20000
1213,20000
1721,20000
875,20000
1589,20000
2921,20000
2823,20000
150,19140
79,18300
503,18300
83,18180
1241,17500
68,16920
549,16650
469,16600
2795,16000
1228,16000
2609,16000
245,15575
2907,15000
2366,15000
1769,15000
1189,15000
2767,15000
3145,15000
114,14700
1819,14400
1269,14200
152,14079
1873,14000
2447,14000
2258,14000
876,14000
234,13600
448,13500
86,13500
1816,13500
2571,13400
252,13050
1236,13000
1701,13000
202,12600
1806,12500
2044,12400
199,12375
194,12150
27,12000
1027,12000
1082,12000
551,12000
193,11925
2654,11200
2621,11200
3152,10800
495,10800
1970,10500
191,10350
2666,10000
2579,10000
555,10000
1392,10000
1220,10000
553,9875
3182,9750
198,9585
484,7005
1810,9500
1238,9000
62,8750
477,8160
2927,8000
790,8000
458,7650
1140,7600
2385,7500
476,7360
552,7110
877,7000
3206,7000
2334,7000
2259,7000
167,6715
2368,6300
609,6200
475,6080
74,6003
1349,6000
508,6000
2638,6000
745,6000
2570,6000
2086,6000
1614,6000
157,5885
154,5725
504,5700
2597,5600
608,5600
486,5600
1359,5500
1237,5500
1100,5500
119,5500
1273,5400
1610,5000
118,5000
393,4860
396,4830
261,4725
514,4550
